,East Second Gate,South Gate,West Third Gate,Lantian North Gate,Great Lawn,Big Canteen,Chengyue Canteen,Yinquan,Lake-view Canteen,West Living Area,Yuhu,Chengyue,Baisha,Cuibai,Yunfeng,Lantian,Danqing,Crescent Building,East Teaching Area,West Teaching Area,North Teaching Area,East Playground,Gymnasium,Main Library,Agriculture and Medicine Library,Museum of Art and Archaeology,Hospital,Anzhong Tower
East Second Gate,0,0,0,0,1200,1000,2100,1700,718,0,0,0,1100,1200,1287,1300,1300,517,470,960,1700,1300,468,318,1300,0,1015,0
South Gate,0,0,0,0,690,1700,511,1700,0,0,1200,407,0,0,1800,0,0,1500,1500,1100,1600,0,0,0,850,1200,0,0
West Third Gate,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0
Lantian North Gate,0,0,0,0,0,365,0,962,848,0,0,0,550,412,350,70,218,919,1400,843,0,671,0,0,0,0,0,0
Great Lawn,1200,690,0,0,0,0,853,1800,728,0,1700,743,1500,1500,1400,0,0,940,727,654,0,0,0,0,150,0,0,0
Big Canteen,1000,1700,0,365,0,0,0,785,670,0,0,0,293,361,260,323,267,367,1000,677,823,447,1100,0,0,0,469,0
Chengyue Canteen,2100,511,0,0,853,0,0,0,0,0,844,170,0,0,0,0,0,0,1568,1100,0,0,0,0,920,1100,0,0
Yinquan,1700,1700,0,962,1800,785,0,0,1300,0,0,0,0,0,600,927,944,0,0,1200,100,734,0,0,0,0,1300,0
Lake-view Canteen,718,0,0,848,728,670,0,1300,0,0,0,0,784,861,746,825,826,179,681,370,0,634,703,413,0,0,956,0
West Living Area,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuhu,0,1200,150,0,1700,0,844,0,0,160,0,1100,0,0,0,0,0,0,0,1900,1100,0,0,0,0,312,0,0
Chengyue,0,407,0,0,743,0,170,0,0,0,1100,0,0,0,0,0,0,0,0,1000,1600,0,0,0,822,0,0,0
Baisha,1100,0,0,550,1500,293,0,0,784,0,0,0,0,120,552,483,282,428,1200,972,0,0,1100,754,0,0,211,0
Cuibai,1200,0,0,412,1500,361,0,0,861,0,0,0,120,0,553,460,300,504,1300,979,0,0,0,0,0,0,231,0
Yunfeng,1287,1800,0,350,1400,260,0,600,746,0,0,0,552,553,0,321,358,805,1300,750,608,476,1100,862,0,0,668,0
Lantian,1300,0,0,70,0,323,0,927,825,0,0,0,483,460,321,0,260,860,1400,840,960,0,0,0,0,0,600,0
Danqing,1300,0,0,218,0,267,0,944,826,0,0,0,282,300,358,260,0,730,1100,830,0,626,0,0,0,0,400,0
Crescent Building,517,1500,0,919,940,367,0,0,179,0,0,0,428,504,805,860,730,0,521,454,0,760,580,0,0,0,855,0
East Teaching Area,470,1500,0,1400,727,1000,1568,0,681,0,0,0,1200,1300,1300,1400,1100,521,0,956,0,0,636,236,860,0,800,0
West Teaching Area,960,1100,0,843,654,677,1100,1200,370,0,1900,1000,972,979,750,840,830,454,956,0,1150,0,0,0,850,0,1100,0
North Teaching Area,1700,1600,0,0,0,823,0,100,0,0,1100,1600,0,0,608,960,0,0,0,1150,0,0,0,0,0,0,1200,0
East Playground,1300,0,0,671,0,447,0,734,634,0,0,0,0,0,476,0,626,760,0,0,0,0,0,0,0,0,930,0
Gymnasium,468,0,0,0,0,1100,0,0,703,0,0,0,1100,0,1100,0,0,580,636,0,0,0,0,426,0,0,539,0
Main Library,318,0,0,0,0,0,0,0,413,0,0,0,754,0,862,0,0,0,236,0,0,0,426,0,0,0,590,0
Agriculture and Medicine Library,1300,850,0,0,150,0,920,0,0,0,0,822,0,0,0,0,0,0,860,850,0,0,0,0,0,0,0,0
Museum of Art and Archaeology,0,1200,226,0,0,0,1100,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital,1015,0,0,0,0,469,0,1300,956,0,0,0,211,231,668,600,400,855,800,1100,1200,930,539,590,0,0,0,0
Anzhong Tower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
